Rank,Country,Region,Population,Colors,Area
87,Czech Republic,Europe,10524167,red|white|blue,78871
112,Denmark,Europe,5867412,red|white,43094
156,Djibouti,Africa,976107,white|red|blue|green,23200
186,Dominica,Americas,72000,yellow|white|black|red|green,751
86,Dominican Republic,Americas,10535535,red|white|blue|green,48671
16,DR Congo,Africa,92378000,yellow|red|blue,2344858
153,East Timor,Asia,1317780,yellow|white|black|red,14919
66,Ecuador,Americas,17902884,yellow|red|blue,276841
106,El Salvador,Americas,6825935,blue|white,1002450
149,Equatorial Guinea,Africa,1505588,white|red|blue|green,21041
14,Egypt,Africa,102837787,white|green,28051
130,Eritrea,Africa,3601000,yellow|red|blue|green,117600
152,Estonia,Europe,1330068,white|black|blue,45227
155,Eswatini,Africa,1172000,yellow|white|black|red|blue,17364
12,Ethiopia,Africa,117876000,yellow|red|blue|green,1104300
157,Fiji,Oceania,898402,red|white|blue,18272
115,Finland,Europe,5517780,white|blue,338425
20,France,Europe,68035000,red|white|blue,640679
143,Gabon,Africa,2233272,yellow|blue|green,267668
141,Gambia,Africa,2487000,white|red|blue|green,11295
129,Georgia,Asia,3728573,white|red,69700
19,Germany,Europe,83222442,yellow|black|red,357114
85,Greece,Europe,10678632,white|blue,238533
47,Ghana,Africa,30792608,yellow|black|red|green,131957
179,Grenada,Americas,113000,yellow|red|green,344
69,Guatemala,Americas,17109746,white|blue,108889
76,Guinea,Africa,12907395,yellow|red|green,245857
148,Guinea-Bissau,Africa,1646077,yellow|black|red|green,36125
161,Guyana,Americas,743699,yellow|white|black|red|green,214969
81,Haiti,Americas,11743017,red|blue,27750
95,Honduras,Americas,9450711,white|blue,112492
91,Hungary,Europe,9730772,white|red|green,93028
172,Iceland,Europe,374830,red|white|blue,103000
2,India,Asia,1387107948,orange|white|green|blue,3287263
4,Indonesia,Asia,271350000,white|red,1904569
17,Iran,Asia,85131676,white|red|green,1648195
36,Iraq,Asia,41190700,white|black|red|green,438317
122,Ireland,Europe,5011500,orange|white|green,70273
94,Israel,Asia,9462620,white|blue,20770
25,Italy,Europe,59059738,white|red|green,301339
51,Ivory Coast,Africa,27087732,orange|white|green,322463
138,Jamaica,Americas,2734093,yellow|black|green,10991
11,Japan,Asia,125440000,white|red,377976
84,Jordan,Asia,11127236,white|black|red|green,89342
62,Kazakhstan,Asia,19145120,yellow|blue,2724900
29,Kenya,Africa,47564296,white|black|red|green,580367
178,Kiribati,Oceania,120740,yellow|white|red|blue,811
123,Kuwait,Asia,4670713,white|black|red|green,17818
108,Kyrgyzstan,Asia,6663000,yellow|red,199951
103,Laos,Asia,7337783,red|white|blue,236800
146,Latvia,Europe,1879700,white|red,64559
107,Lebanon,Asia,6769000,white|red|green,10452
144,Lesotho,Africa,2159000,white|black|blue|green,30355
124,Liberia,Africa,4661010,red|white|blue,111369
104,Libya,Africa,6959000,green,1759540
189,Liechtenstein,Europe,39151,red|blue|yellow,160
137,Lithuania,Europe,2777991,yellow|red|green,65300
163,Luxembourg,Europe,634730,red|white|blue,2586
52,Madagascar,Africa,26923353,white|red|green,587041
63,Malawi,Africa,18898441,black|red|green,118484
44,Malaysia,Asia,32692800,yellow|white|red|blue,330803
171,Maldives,Asia,383135,white|red|green,300
59,Mali,Africa,20856000,yellow|red|green,1240192
167,Malta,Europe,514564,white|red,316
187,Marshall Islands,Oceania,54516,orange|white|blue,181
127,Mauritania,Africa,4271197,yellow|red|green,1030700
154,Mauritius,Africa,1266334,yellow|red|blue|green,2040
10,Mexico,Americas,126014024,white|red|green,1964375
181,Micronesia,Oceania,105754,white|blue,702
139,Moldova,Europe,2597100,yellow|red|blue,33846
190,Monaco,Europe,38350,white|red,2.02
132,Mongolia,Asia,3418765,yellow|red|blue,1564110
164,Montenegro,Europe,621306,yellow|red,13812
39,Morocco,Africa,36493141,red|green,446550
46,Mozambique,Africa,30832244,yellow|white|black|red|green,801590
26,Myanmar,Asia,55294979,yellow|white|red|green,676578
140,Namibia,Africa,2550226,yellow|white|red|blue|green,825615
193,Nauru,Oceania,11832,yellow|white|blue,21
49,Nepal,Asia,30378055,red|white|blue,147181
67,Netherlands,Europe,17682031,red|white|blue,41850
121,New Zealand,Oceania,5137256,red|white|blue,270467
109,Nicaragua,Americas,6595674,white|blue,130373
56,Niger,Africa,24112753,orange|white|green,1267000
7,Nigeria,Africa,211401000,white|green,923768
54,North Korea,Asia,25660000,red|white|blue,120540
147,North Macedonia,Europe,1832696,yellow|red,25713
118,Norway,Europe,5415166,red|white|blue,385207
125,Oman,Asia,4447408,white|red|green,309500
5,Pakistan,Asia,225200000,white|green,881913
192,Palau,Oceania,17957,yellow|blue,459
119,Palestine,Asia,5227193,white|black|red|green,6020
126,Panama,Americas,4278500,red|white|blue,75417
97,Papua New Guinea,Oceania,9122994,yellow|white|black|red,462840
102,Paraguay,Americas,7353038,red|white|blue,406752
42,Peru,Americas,33035304,white|red,1285216
13,Philippines,Asia,111391948,yellow|white|red|blue,300000
38,Poland,Europe,38139000,white|red,312696
89,Portugal,Europe,10347892,red|green,92226
136,Qatar,Asia,2799202,white|red,11586
61,Romania,Europe,19186201,yellow|red|blue,238397
9,Russia,Europe,146171015,red|white|blue,17098246
75,Rwanda,Africa,12955768,yellow|blue|green,26338
188,Saint Kitts and Nevis,Americas,54000,yellow|white|black|red|green,261
177,Saint Lucia,Americas,178696,yellow|white|black|blue,616
180,Saint Vincent and the Grenadines,Americas,110696,yellow|blue|green,389
176,Samoa,Oceania,199853,red|white|blue,2842
191,San Marino,Europe,33668,white|blue,61
175,Sao Tome and Principe,Africa,214610,yellow|black|red|green,964
41,Saudi Arabia,Asia,35013414,white|green,2149690
68,Senegal,Africa,17223497,yellow|red|green,196722
105,Serbia,Europe,6871547,red|white|blue,88361
184,Seychelles,Africa,99202,yellow|white|red|blue|green,452
100,Sierra Leone,Africa,8297882,white|blue|green,71740
116,Singapore,Asia,5453600,white|red,728
117,Slovakia,Europe,5452025,red|white|blue,49037
145,Slovenia,Europe,2108977,red|white|blue,20273
162,Solomon Islands,Oceania,728041,yellow|white|blue|green,28896
71,Somalia,Africa,16360000,white|blue,637657
23,South Africa,Africa,60142978,yellow|white|black|red|blue|green,1221037
27,South Korea,Asia,51671569,white|black|red|blue,100210
74,South Sudan,Africa,13249924,yellow|white|black|red|blue|green,644329
30,Spain,Europe,47394223,yellow|red,505992
57,Sri Lanka,Asia,22156000,yellow|orange|green|red,65610
33,Sudan,Africa,44132240,white|black|red|green,1861484
165,Suriname,Americas,598000,yellow|white|red|green,163820
88,Sweden,Europe,10449381,yellow|blue,450295
99,Switzerland,Europe,8717105,white|red,41284
65,Syria,Asia,18276000,white|black|red|green,185180
92,Tajikistan,Asia,9504000,white|red|green,143100
24,Tanzania,Africa,59441988,yellow|black|blue|green,945087
22,Thailand,Asia,66744355,red|white|blue,513120
101,Togo,Africa,7886000,yellow|white|red|green,56785
182,Tonga,Oceania,99532,white|red,747
151,Trinidad and Tobago,Americas,1367558,white|black|red,5130
80,Tunisia,Africa,11746695,white|red,163610
18,Turkey,Asia,83614362,white|red,783562
111,Turkmenistan,Asia,6118000,yellow|white|red|green,488100
194,Tuvalu,Oceania,10679,yellow|white|red|blue,26
34,Uganda,Africa,42885900,yellow|white|black|red,241550
35,Ukraine,Europe,41208106,yellow|blue,603500
93,United Arab Emirates,Asia,9503738,white|black|red|green,83600
21,United Kingdom,Europe,67081234,red|white|blue,242495
3,United States,Americas,333095764,red|white|blue,9525067
131,Uruguay,Americas,3554915,yellow|white|blue,176215
40,Uzbekistan,Asia,35330745,white|red|blue|green,447400
173,Vanuatu,Oceania,301295,yellow|black|red|green,12189
195,Vatican City,Europe,825,yellow|white,0.49
50,Venezuela,Americas,28705000,yellow|white|red|blue,916445
15,Vietnam,Asia,98510000,yellow|red,331212
48,Yemen,Asia,30491000,white|black|red,555000
64,Zambia,Africa,18400556,orange|black|red|green,752612
72,Zimbabwe,Africa,15790716,yellow|white|black|red|green,390757
